Azimuth (deg),Elevation (deg),EIRP (dBW),Xmtr Gain (dB),Xmtr EIRP Intensity (dBW/Sterad),Atmos Loss (dB),Rain Loss (dB),CloudsFog Loss (dB)
271.714,50.495,67.81,37.8102,56.818112,0.0781,0.045,0.006
271.763,51.018,67.81,37.8102,56.818112,0.0775,0.0447,0.006
271.814,51.548,67.81,37.8102,56.818112,0.0769,0.0445,0.0059
271.866,52.084,67.81,37.8102,56.818112,0.0764,0.0442,0.0059
271.92,52.627,67.81,37.8102,56.818112,0.0758,0.044,0.0058
271.977,53.177,67.81,37.8102,56.818112,0.0753,0.0437,0.0058
272.035,53.733,67.81,37.8102,56.818112,0.0747,0.0435,0.0057
272.096,54.297,67.81,37.8102,56.818112,0.0742,0.0433,0.0057
272.159,54.866,67.81,37.8102,56.818112,0.0737,0.043,0.0057
272.224,55.443,67.81,37.8102,56.818112,0.0731,0.0428,0.0056
272.293,56.027,67.81,37.8102,56.818112,0.0726,0.0426,0.0056
272.364,56.617,67.81,37.8102,56.818112,0.0721,0.0424,0.0055
272.438,57.215,67.81,37.8102,56.818112,0.0717,0.0422,0.0055
272.516,57.819,67.81,37.8102,56.818112,0.0712,0.042,0.0055
272.597,58.43,67.81,37.8102,56.818112,0.0707,0.0417,0.0054
272.682,59.048,67.81,37.8102,56.818112,0.0703,0.0415,0.0054
272.771,59.673,67.81,37.8102,56.818112,0.0698,0.0414,0.0054
272.864,60.305,67.81,37.8102,56.818112,0.0694,0.0412,0.0053
272.962,60.943,67.81,37.8102,56.818112,0.0689,0.041,0.0053
273.065,61.589,67.81,37.8102,56.818112,0.0685,0.0408,0.0053
273.174,62.241,67.81,37.8102,56.818112,0.0681,0.0406,0.0052
273.288,62.9,67.81,37.8102,56.818112,0.0677,0.0404,0.0052
273.409,63.566,67.81,37.8102,56.818112,0.0673,0.0403,0.0052
273.537,64.238,67.81,37.8102,56.818112,0.0669,0.0401,0.0051
273.673,64.917,67.81,37.8102,56.818112,0.0665,0.0399,0.0051
273.817,65.603,67.81,37.8102,56.818112,0.0662,0.0398,0.0051
273.97,66.295,67.81,37.8102,56.818112,0.0658,0.0396,0.0051
274.134,66.993,67.81,37.8102,56.818112,0.0655,0.0395,0.005
274.308,67.698,67.81,37.8102,56.818112,0.0651,0.0393,0.005
274.495,68.408,67.81,37.8102,56.818112,0.0648,0.0392,0.005
274.696,69.125,67.81,37.8102,56.818112,0.0645,0.0391,0.005
274.913,69.847,67.81,37.8102,56.818112,0.0642,0.0389,0.0049
275.146,70.575,67.81,37.8102,56.818112,0.0639,0.0388,0.0049
275.399,71.308,67.81,37.8102,56.818112,0.0636,0.0387,0.0049
275.674,72.047,67.81,37.8102,56.818112,0.0633,0.0386,0.0049
275.974,72.791,67.81,37.8102,56.818112,0.0631,0.0385,0.0048
276.303,73.539,67.81,37.8102,56.818112,0.0628,0.0384,0.0048
276.664,74.293,67.81,37.8102,56.818112,0.0626,0.0383,0.0048
277.063,75.05,67.81,37.8102,56.818112,0.0624,0.0382,0.0048
277.507,75.811,67.81,37.8102,56.818112,0.0622,0.0381,0.0048
278.003,76.577,67.81,37.8102,56.818112,0.0619,0.038,0.0048
278.561,77.345,67.81,37.8102,56.818112,0.0618,0.0379,0.0047
279.193,78.116,67.81,37.8102,56.818112,0.0616,0.0378,0.0047
279.915,78.89,67.81,37.8102,56.818112,0.0614,0.0378,0.0047
280.747,79.665,67.81,37.8102,56.818112,0.0613,0.0377,0.0047
281.717,80.441,67.81,37.8102,56.818112,0.0611,0.0376,0.0047
282.862,81.217,67.81,37.8102,56.818112,0.061,0.0376,0.0047
284.231,81.992,67.81,37.8102,56.818112,0.0609,0.0375,0.0047
285.895,82.764,67.81,37.8102,56.818112,0.0607,0.0375,0.0047
287.96,83.531,67.81,37.8102,56.818112,0.0606,0.0374,0.0047
290.58,84.289,67.81,37.8102,56.818112,0.0606,0.0374,0.0047
293.999,85.033,67.81,37.8102,56.818112,0.0605,0.0374,0.0046
298.607,85.756,67.81,37.8102,56.818112,0.0604,0.0373,0.0046
305.049,86.441,67.81,37.8102,56.818112,0.0604,0.0373,0.0046
314.382,87.061,67.81,37.8102,56.818112,0.0603,0.0373,0.0046
328.105,87.566,67.81,37.8102,56.818112,0.0603,0.0373,0.0046
347.212,87.869,67.81,37.8102,56.818112,0.0603,0.0373,0.0046
9.333,87.884,67.81,37.8102,56.818112,0.0603,0.0373,0.0046
28.887,87.603,67.81,37.8102,56.818112,0.0603,0.0373,0.0046
43.085,87.113,67.81,37.8102,56.818112,0.0603,0.0373,0.0046
52.75,86.5,67.81,37.8102,56.818112,0.0604,0.0373,0.0046
59.405,85.82,67.81,37.8102,56.818112,0.0604,0.0373,0.0046
64.148,85.1,67.81,37.8102,56.818112,0.0605,0.0374,0.0046
67.655,84.357,67.81,37.8102,56.818112,0.0606,0.0374,0.0047
70.337,83.6,67.81,37.8102,56.818112,0.0606,0.0374,0.0047
72.444,82.834,67.81,37.8102,56.818112,0.0607,0.0375,0.0047
74.141,82.062,67.81,37.8102,56.818112,0.0608,0.0375,0.0047
75.533,81.288,67.81,37.8102,56.818112,0.061,0.0376,0.0047
76.695,80.512,67.81,37.8102,56.818112,0.0611,0.0376,0.0047
77.68,79.736,67.81,37.8102,56.818112,0.0612,0.0377,0.0047
78.523,78.96,67.81,37.8102,56.818112,0.0614,0.0377,0.0047
79.255,78.187,67.81,37.8102,56.818112,0.0616,0.0378,0.0047
79.894,77.415,67.81,37.8102,56.818112,0.0617,0.0379,0.0047
80.458,76.647,67.81,37.8102,56.818112,0.0619,0.038,0.0048
80.959,75.881,67.81,37.8102,56.818112,0.0621,0.0381,0.0048
81.407,75.119,67.81,37.8102,56.818112,0.0623,0.0381,0.0048
81.81,74.362,67.81,37.8102,56.818112,0.0626,0.0382,0.0048
82.175,73.608,67.81,37.8102,56.818112,0.0628,0.0383,0.0048
82.506,72.859,67.81,37.8102,56.818112,0.0631,0.0385,0.0048
82.809,72.115,67.81,37.8102,56.818112,0.0633,0.0386,0.0049
83.086,71.376,67.81,37.8102,56.818112,0.0636,0.0387,0.0049
83.341,70.642,67.81,37.8102,56.818112,0.0639,0.0388,0.0049
83.576,69.914,67.81,37.8102,56.818112,0.0642,0.0389,0.0049
83.794,69.191,67.81,37.8102,56.818112,0.0645,0.0391,0.005
83.996,68.474,67.81,37.8102,56.818112,0.0648,0.0392,0.005
84.184,67.763,67.81,37.8102,56.818112,0.0651,0.0393,0.005
84.36,67.058,67.81,37.8102,56.818112,0.0654,0.0395,0.005
84.524,66.359,67.81,37.8102,56.818112,0.0658,0.0396,0.0051
84.679,65.667,67.81,37.8102,56.818112,0.0661,0.0398,0.0051
84.824,64.98,67.81,37.8102,56.818112,0.0665,0.0399,0.0051
84.96,64.301,67.81,37.8102,56.818112,0.0669,0.0401,0.0051
85.089,63.628,67.81,37.8102,56.818112,0.0673,0.0402,0.0052
85.21,62.962,67.81,37.8102,56.818112,0.0676,0.0404,0.0052
85.325,62.302,67.81,37.8102,56.818112,0.0681,0.0406,0.0052
85.435,61.649,67.81,37.8102,56.818112,0.0685,0.0408,0.0053
85.538,61.003,67.81,37.8102,56.818112,0.0689,0.041,0.0053
85.637,60.364,67.81,37.8102,56.818112,0.0693,0.0411,0.0053
85.73,59.731,67.81,37.8102,56.818112,0.0698,0.0413,0.0054
85.82,59.106,67.81,37.8102,56.818112,0.0702,0.0415,0.0054
85.905,58.487,67.81,37.8102,56.818112,0.0707,0.0417,0.0054
85.986,57.876,67.81,37.8102,56.818112,0.0711,0.0419,0.0055
86.064,57.271,67.81,37.8102,56.818112,0.0716,0.0421,0.0055
86.139,56.673,67.81,37.8102,56.818112,0.0721,0.0424,0.0055
86.21,56.082,67.81,37.8102,56.818112,0.0726,0.0426,0.0056
86.279,55.498,67.81,37.8102,56.818112,0.0731,0.0428,0.0056
86.345,54.92,67.81,37.8102,56.818112,0.0736,0.043,0.0057
86.408,54.35,67.81,37.8102,56.818112,0.0741,0.0432,0.0057
86.469,53.786,67.81,37.8102,56.818112,0.0747,0.0435,0.0057
86.527,53.229,67.81,37.8102,56.818112,0.0752,0.0437,0.0058
86.584,52.679,67.81,37.8102,56.818112,0.0758,0.0439,0.0058
86.638,52.136,67.81,37.8102,56.818112,0.0763,0.0442,0.0059
86.691,51.599,67.81,37.8102,56.818112,0.0769,0.0444,0.0059
86.741,51.068,67.81,37.8102,56.818112,0.0774,0.0447,0.006
86.791,50.545,67.81,37.8102,56.818112,0.078,0.0449,0.006
86.838,50.027,67.81,37.8102,56.818112,0.0786,0.0452,0.006
86.884,49.516,67.81,37.8102,56.818112,0.0792,0.0455,0.0061
86.928,49.012,67.81,37.8102,56.818112,0.0798,0.0457,0.0061
86.971,48.513,67.81,37.8102,56.818112,0.0804,0.046,0.0062
87.013,48.021,67.81,37.8102,56.818112,0.081,0.0463,0.0062
87.053,47.536,67.81,37.8102,56.818112,0.0817,0.0465,0.0063
87.092,47.056,67.81,37.8102,56.818112,0.0823,0.0468,0.0063
87.13,46.582,67.81,37.8102,56.818112,0.0829,0.0471,0.0064
87.167,46.114,67.81,37.8102,56.818112,0.0836,0.0474,0.0064
87.203,45.653,67.81,37.8102,56.818112,0.0842,0.0477,0.0065
87.238,45.197,67.81,37.8102,56.818112,0.0849,0.048,0.0065
87.272,44.746,67.81,37.8102,56.818112,0.0856,0.0483,0.0066
87.305,44.302,67.81,37.8102,56.818112,0.0862,0.0486,0.0066
87.338,43.863,67.81,37.8102,56.818112,0.0869,0.0489,0.0067
87.369,43.429,67.81,37.8102,56.818112,0.0876,0.0492,0.0067
87.399,43.001,67.81,37.8102,56.818112,0.0883,0.0495,0.0068
87.429,42.579,67.81,37.8102,56.818112,0.089,0.0498,0.0068
87.458,42.162,67.81,37.8102,56.818112,0.0897,0.0501,0.0069
