Azimuth (deg),Elevation (deg),EIRP (dBW),Xmtr Gain (dB),Xmtr EIRP Intensity (dBW/Sterad),Atmos Loss (dB),Rain Loss (dB),CloudsFog Loss (dB)
314.382,87.061,81.435,51.435,70.442936,1.1762,1.8802,0.0877
328.105,87.566,81.435,51.435,70.442936,1.1757,1.8797,0.0877
347.212,87.869,81.435,51.435,70.442936,1.1755,1.8795,0.0876
9.333,87.884,81.435,51.435,70.442936,1.1755,1.8794,0.0876
28.887,87.603,81.435,51.435,70.442936,1.1757,1.8797,0.0877
43.085,87.113,81.435,51.435,70.442936,1.1762,1.8801,0.0877
52.75,86.5,81.435,51.435,70.442936,1.1769,1.8809,0.0878
59.405,85.82,81.435,51.435,70.442936,1.1778,1.8818,0.0878
64.148,85.1,81.435,51.435,70.442936,1.179,1.883,0.0879
67.655,84.357,81.435,51.435,70.442936,1.1804,1.8844,0.088
70.337,83.6,81.435,51.435,70.442936,1.1821,1.8861,0.0881
72.444,82.834,81.435,51.435,70.442936,1.1839,1.888,0.0883
74.141,82.062,81.435,51.435,70.442936,1.186,1.8901,0.0884
75.533,81.288,81.435,51.435,70.442936,1.1884,1.8925,0.0886
76.695,80.512,81.435,51.435,70.442936,1.191,1.8951,0.0888
77.68,79.736,81.435,51.435,70.442936,1.1938,1.898,0.089
78.523,78.96,81.435,51.435,70.442936,1.1968,1.901,0.0892
79.255,78.187,81.435,51.435,70.442936,1.2001,1.9044,0.0895
79.894,77.415,81.435,51.435,70.442936,1.2036,1.9079,0.0897
80.458,76.647,81.435,51.435,70.442936,1.2073,1.9117,0.09
80.959,75.881,81.435,51.435,70.442936,1.2112,1.9157,0.0903
81.407,75.119,81.435,51.435,70.442936,1.2154,1.92,0.0906
81.81,74.362,81.435,51.435,70.442936,1.2198,1.9244,0.091
82.175,73.608,81.435,51.435,70.442936,1.2244,1.9291,0.0913
82.506,72.859,81.435,51.435,70.442936,1.2292,1.9341,0.0917
82.809,72.115,81.435,51.435,70.442936,1.2343,1.9392,0.092
83.086,71.376,81.435,51.435,70.442936,1.2395,1.9446,0.0924
83.341,70.642,81.435,51.435,70.442936,1.245,1.9502,0.0928
83.576,69.914,81.435,51.435,70.442936,1.2507,1.9561,0.0933
83.794,69.191,81.435,51.435,70.442936,1.2566,1.9621,0.0937
83.996,68.474,81.435,51.435,70.442936,1.2627,1.9684,0.0941
84.184,67.763,81.435,51.435,70.442936,1.269,1.9749,0.0946
84.36,67.058,81.435,51.435,70.442936,1.2755,1.9816,0.0951
84.524,66.359,81.435,51.435,70.442936,1.2822,1.9886,0.0956
84.679,65.667,81.435,51.435,70.442936,1.2891,1.9957,0.0961
84.824,64.98,81.435,51.435,70.442936,1.2962,2.0031,0.0966
84.96,64.301,81.435,51.435,70.442936,1.3035,2.0106,0.0972
85.089,63.628,81.435,51.435,70.442936,1.311,2.0184,0.0978
85.21,62.962,81.435,51.435,70.442936,1.3187,2.0264,0.0983
85.325,62.302,81.435,51.435,70.442936,1.3265,2.0346,0.0989
85.435,61.649,81.435,51.435,70.442936,1.3346,2.043,0.0995
85.538,61.003,81.435,51.435,70.442936,1.3429,2.0516,0.1001
85.637,60.364,81.435,51.435,70.442936,1.3513,2.0604,0.1008
85.73,59.731,81.435,51.435,70.442936,1.3599,2.0695,0.1014
85.82,59.106,81.435,51.435,70.442936,1.3687,2.0787,0.1021
85.905,58.487,81.435,51.435,70.442936,1.3776,2.0881,0.1027
85.986,57.876,81.435,51.435,70.442936,1.3868,2.0977,0.1034
86.064,57.271,81.435,51.435,70.442936,1.3961,2.1075,0.1041
86.139,56.673,81.435,51.435,70.442936,1.4056,2.1175,0.1048
